Text ID,Original Text,Tokens,Entities,Keywords
11,"Charlotte ran a half-marathon in Chicago in October. She trained for months and felt a great sense of achievement at the finish line. Charlotte said, 'I’m so proud of my progress!'","Charlotte,ran,a,half,-,marathon,in,Chicago,in,October,.,She,trained,for,months,and,felt,a,great,sense,of,achievement,at,the,finish,line,.,Charlotte,said,,,',I,’m,so,proud,of,my,progress,!,'","Charlotte (GPE), Chicago (GPE), October (DATE), months (DATE), Charlotte (GPE)","{'charlotte': 2, 'ran': 1, 'half': 1, 'marathon': 1, 'chicago': 1, 'october': 1, 'trained': 1, 'months': 1, 'felt': 1, 'great': 1, 'sense': 1, 'achievement': 1, 'finish': 1, 'line': 1, 'said': 1, 'proud': 1, 'progress': 1}"
12,"Benjamin spent a week in the Swiss Alps last winter. He enjoyed skiing on the snowy slopes and relaxing by the fireplace. Benjamin remarked, 'The scenery was absolutely breathtaking!'","Benjamin,spent,a,week,in,the,Swiss,Alps,last,winter,.,He,enjoyed,skiing,on,the,snowy,slopes,and,relaxing,by,the,fireplace,.,Benjamin,remarked,,,',The,scenery,was,absolutely,breathtaking,!,'","Benjamin (PERSON), a week (DATE), Swiss (NORP), Alps (GPE), last winter (DATE), Benjamin (PERSON)","{'benjamin': 2, 'spent': 1, 'week': 1, 'swiss': 1, 'alps': 1, 'winter': 1, 'enjoyed': 1, 'skiing': 1, 'snowy': 1, 'slopes': 1, 'relaxing': 1, 'fireplace': 1, 'remarked': 1, 'scenery': 1, 'absolutely': 1, 'breathtaking': 1}"
13,"Isabella went on a road trip along the Pacific Coast Highway last summer. She visited many beaches and enjoyed the sunsets. Isabella shared, 'This trip was everything I needed!'","Isabella,went,on,a,road,trip,along,the,Pacific,Coast,Highway,last,summer,.,She,visited,many,beaches,and,enjoyed,the,sunsets,.,Isabella,shared,,,',This,trip,was,everything,I,needed,!,'","Isabella (PERSON), the Pacific Coast Highway (LOC), last summer (DATE), Isabella (PERSON)","{'isabella': 2, 'went': 1, 'road': 1, 'trip': 2, 'pacific': 1, 'coast': 1, 'highway': 1, 'summer': 1, 'visited': 1, 'beaches': 1, 'enjoyed': 1, 'sunsets': 1, 'shared': 1, 'needed': 1}"
14,"Henry went to a rock climbing gym for the first time last week. He climbed several walls and felt a rush of adrenaline. Henry said, 'I’m definitely going to do this again!'","Henry,went,to,a,rock,climbing,gym,for,the,first,time,last,week,.,He,climbed,several,walls,and,felt,a,rush,of,adrenaline,.,Henry,said,,,',I,’m,definitely,going,to,do,this,again,!,'","Henry (PERSON), first (ORDINAL), last week (DATE), Henry (PERSON)","{'henry': 2, 'went': 1, 'rock': 1, 'climbing': 1, 'gym': 1, 'time': 1, 'week': 1, 'climbed': 1, 'walls': 1, 'felt': 1, 'rush': 1, 'adrenaline': 1, 'said': 1, 'definitely': 1, 'going': 1}"
15,"Mia attended a photography workshop in New Zealand last winter. She learned new techniques for capturing landscapes and portraits. Mia said, 'I can’t wait to apply what I’ve learned!'","Mia,attended,a,photography,workshop,in,New,Zealand,last,winter,.,She,learned,new,techniques,for,capturing,landscapes,and,portraits,.,Mia,said,,,',I,ca,n’t,wait,to,apply,what,I,’ve,learned,!,'","Mia (PERSON), New Zealand (GPE), last winter (DATE), Mia (PERSON)","{'mia': 2, 'attended': 1, 'photography': 1, 'workshop': 1, 'new': 2, 'zealand': 1, 'winter': 1, 'learned': 2, 'techniques': 1, 'capturing': 1, 'landscapes': 1, 'portraits': 1, 'said': 1, 'wait': 1, 'apply': 1}"
16,"Lucas visited Barcelona last spring. He explored the city's architecture, including Gaudí’s famous Sagrada Família. Lucas said, 'The architecture here is out of this world!'","Lucas,visited,Barcelona,last,spring,.,He,explored,the,city,'s,architecture,,,including,Gaudí,’s,famous,Sagrada,Família,.,Lucas,said,,,',The,architecture,here,is,out,of,this,world,!,'","Lucas (PERSON), Barcelona (GPE), last spring (DATE), Gaudí (PERSON), Sagrada Família (ORG), Lucas (PERSON)","{'lucas': 2, 'visited': 1, 'barcelona': 1, 'spring': 1, 'explored': 1, 'city': 1, 'architecture': 2, 'including': 1, 'gaudí': 1, 'famous': 1, 'sagrada': 1, 'família': 1, 'said': 1, 'world': 1}"
17,"Ava took a painting class in Florence during the summer. She learned to paint landscapes with watercolors. Ava said, 'It was amazing to capture the beauty of Italy on canvas!'","Ava,took,a,painting,class,in,Florence,during,the,summer,.,She,learned,to,paint,landscapes,with,watercolors,.,Ava,said,,,',It,was,amazing,to,capture,the,beauty,of,Italy,on,canvas,!,'","Ava (PERSON), Florence (GPE), the summer (DATE), Ava (PERSON), Italy (GPE)","{'ava': 2, 'took': 1, 'painting': 1, 'class': 1, 'florence': 1, 'summer': 1, 'learned': 1, 'paint': 1, 'landscapes': 1, 'watercolors': 1, 'said': 1, 'amazing': 1, 'capture': 1, 'beauty': 1, 'italy': 1, 'canvas': 1}"
18,"Zoe went backpacking in the Canadian Rockies last year. She hiked along scenic trails and camped under the stars. Zoe shared, 'The views from the top were worth every step!'","Zoe,went,backpacking,in,the,Canadian,Rockies,last,year,.,She,hiked,along,scenic,trails,and,camped,under,the,stars,.,Zoe,shared,,,',The,views,from,the,top,were,worth,every,step,!,'","Zoe (PERSON), Canadian (NORP), last year (DATE), Zoe (PERSON)","{'zoe': 2, 'went': 1, 'backpacking': 1, 'canadian': 1, 'rockies': 1, 'year': 1, 'hiked': 1, 'scenic': 1, 'trails': 1, 'camped': 1, 'stars': 1, 'shared': 1, 'views': 1, 'worth': 1, 'step': 1}"
19,"Jack participated in a football tournament in Madrid last summer. His team made it to the finals, and although they didn’t win, Jack said, 'It was an unforgettable experience!'","Jack,participated,in,a,football,tournament,in,Madrid,last,summer,.,His,team,made,it,to,the,finals,,,and,although,they,did,n’t,win,,,Jack,said,,,',It,was,an,unforgettable,experience,!,'","Jack (PERSON), Madrid (GPE), last summer (DATE), Jack (PERSON)","{'jack': 2, 'participated': 1, 'football': 1, 'tournament': 1, 'madrid': 1, 'summer': 1, 'team': 1, 'finals': 1, 'win': 1, 'said': 1, 'unforgettable': 1, 'experience': 1}"
20,"Grace joined a sailing trip around the Greek Islands last spring. She spent the days on the water and the evenings in charming coastal towns. Grace said, 'It was the perfect getaway!'Emma visited Paris for the first time last summer. She toured the Eiffel Tower and explored the Louvre Museum. Emma exclaimed, 'The art and architecture were amazing!'","Grace,joined,a,sailing,trip,around,the,Greek,Islands,last,spring,.,She,spent,the,days,on,the,water,and,the,evenings,in,charming,coastal,towns,.,Grace,said,,,',It,was,the,perfect,getaway!'Emma,visited,Paris,for,the,first,time,last,summer,.,She,toured,the,Eiffel,Tower,and,explored,the,Louvre,Museum,.,Emma,exclaimed,,,',The,art,and,architecture,were,amazing,!,'","Grace (ORG), Greek Islands (GPE), last spring (DATE), the days (DATE), Grace (ORG), Paris (GPE), first (ORDINAL), last summer (DATE), the Eiffel Tower (FAC), the Louvre Museum (ORG), Emma (PERSON)","{'grace': 2, 'joined': 1, 'sailing': 1, 'trip': 1, 'greek': 1, 'islands': 1, 'spring': 1, 'spent': 1, 'days': 1, 'water': 1, 'evenings': 1, 'charming': 1, 'coastal': 1, 'towns': 1, 'said': 1, 'perfect': 1, 'visited': 1, 'paris': 1, 'time': 1, 'summer': 1, 'toured': 1, 'eiffel': 1, 'tower': 1, 'explored': 1, 'louvre': 1, 'museum': 1, 'emma': 1, 'exclaimed': 1, 'art': 1, 'architecture': 1, 'amazing': 1}"
21,"Emma traveled to Rome during the spring holidays. She visited the Colosseum and enjoyed Italian cuisine. Emma said, 'The food here is incredible!'","Emma,traveled,to,Rome,during,the,spring,holidays,.,She,visited,the,Colosseum,and,enjoyed,Italian,cuisine,.,Emma,said,,,',The,food,here,is,incredible,!,'","Emma (PERSON), Rome (GPE), the spring holidays (DATE), Colosseum (ORG), Italian (NORP), Emma (PERSON)","{'emma': 2, 'traveled': 1, 'rome': 1, 'spring': 1, 'holidays': 1, 'visited': 1, 'colosseum': 1, 'enjoyed': 1, 'italian': 1, 'cuisine': 1, 'said': 1, 'food': 1, 'incredible': 1}"
22,"Last winter, Emma went on a backpacking trip to the Swiss Alps. She spent a few days hiking in the mountains and enjoying the snow. Emma remarked, 'The views were stunning!'","Last,winter,,,Emma,went,on,a,backpacking,trip,to,the,Swiss,Alps,.,She,spent,a,few,days,hiking,in,the,mountains,and,enjoying,the,snow,.,Emma,remarked,,,',The,views,were,stunning,!,'","Last winter (DATE), Emma (PERSON), a few days (DATE), Emma (PERSON)","{'winter': 1, 'emma': 2, 'went': 1, 'backpacking': 1, 'trip': 1, 'swiss': 1, 'alps': 1, 'spent': 1, 'days': 1, 'hiking': 1, 'mountains': 1, 'enjoying': 1, 'snow': 1, 'remarked': 1, 'views': 1, 'stunning': 1}"
23,"Emma took a vacation to Tokyo in early spring. She visited the cherry blossom parks and attended a traditional tea ceremony. Emma commented, 'The culture here is so rich!'","Emma,took,a,vacation,to,Tokyo,in,early,spring,.,She,visited,the,cherry,blossom,parks,and,attended,a,traditional,tea,ceremony,.,Emma,commented,,,',The,culture,here,is,so,rich,!,'","Emma (PERSON), Tokyo (GPE), early spring (DATE), Emma (PERSON)","{'emma': 2, 'took': 1, 'vacation': 1, 'tokyo': 1, 'early': 1, 'spring': 1, 'visited': 1, 'cherry': 1, 'blossom': 1, 'parks': 1, 'attended': 1, 'traditional': 1, 'tea': 1, 'ceremony': 1, 'commented': 1, 'culture': 1, 'rich': 1}"
24,"During the autumn, Emma spent a week in Barcelona. She explored the famous Sagrada Familia and walked through the Gothic Quarter. Emma said, 'Barcelona is full of history!'","During,the,autumn,,,Emma,spent,a,week,in,Barcelona,.,She,explored,the,famous,Sagrada,Familia,and,walked,through,the,Gothic,Quarter,.,Emma,said,,,',Barcelona,is,full,of,history,!,'","Emma (PERSON), a week (DATE), Barcelona (GPE), Sagrada Familia (ORG), the Gothic Quarter (EVENT), Emma (PERSON), Barcelona (GPE)","{'autumn': 1, 'emma': 2, 'spent': 1, 'week': 1, 'barcelona': 2, 'explored': 1, 'famous': 1, 'sagrada': 1, 'familia': 1, 'walked': 1, 'gothic': 1, 'quarter': 1, 'said': 1, 'history': 1}"
25,"Emma went on a road trip along the Pacific Coast Highway last summer. She visited several beach towns and admired the ocean views. Emma shared, 'This was the best road trip ever!'","Emma,went,on,a,road,trip,along,the,Pacific,Coast,Highway,last,summer,.,She,visited,several,beach,towns,and,admired,the,ocean,views,.,Emma,shared,,,',This,was,the,best,road,trip,ever,!,'","Emma (PERSON), the Pacific Coast Highway (LOC), last summer (DATE), Emma (PERSON)","{'emma': 2, 'went': 1, 'road': 2, 'trip': 2, 'pacific': 1, 'coast': 1, 'highway': 1, 'summer': 1, 'visited': 1, 'beach': 1, 'towns': 1, 'admired': 1, 'ocean': 1, 'views': 1, 'shared': 1, 'best': 1}"
26,"In the fall, Emma went to New York City to attend a fashion event. She visited Central Park and explored various art galleries. Emma exclaimed, 'New York has so much to offer!'","In,the,fall,,,Emma,went,to,New,York,City,to,attend,a,fashion,event,.,She,visited,Central,Park,and,explored,various,art,galleries,.,Emma,exclaimed,,,',New,York,has,so,much,to,offer,!,'","the fall (DATE), Emma (PERSON), New York City (GPE), Central Park (LOC), Emma (PERSON), New York (GPE)","{'fall': 1, 'emma': 2, 'went': 1, 'new': 2, 'york': 2, 'city': 1, 'attend': 1, 'fashion': 1, 'event': 1, 'visited': 1, 'central': 1, 'park': 1, 'explored': 1, 'art': 1, 'galleries': 1, 'exclaimed': 1, 'offer': 1}"
27,"Emma visited London last year for a cultural exchange program. She toured Buckingham Palace and the Tower of London. Emma said, 'London is full of rich history!'","Emma,visited,London,last,year,for,a,cultural,exchange,program,.,She,toured,Buckingham,Palace,and,the,Tower,of,London,.,Emma,said,,,',London,is,full,of,rich,history,!,'","Emma (PERSON), London (GPE), last year (DATE), Buckingham Palace (FAC), the Tower of London (FAC), Emma (PERSON), London (GPE)","{'emma': 2, 'visited': 1, 'london': 3, 'year': 1, 'cultural': 1, 'exchange': 1, 'program': 1, 'toured': 1, 'buckingham': 1, 'palace': 1, 'tower': 1, 'said': 1, 'rich': 1, 'history': 1}"
28,"Emma traveled to Kyoto in Japan last spring to experience traditional tea ceremonies and visit ancient temples. She shared, 'Kyoto feels like stepping back in time.'","Emma,traveled,to,Kyoto,in,Japan,last,spring,to,experience,traditional,tea,ceremonies,and,visit,ancient,temples,.,She,shared,,,',Kyoto,feels,like,stepping,back,in,time,.,'","Emma (PERSON), Kyoto (GPE), Japan (GPE), last spring (DATE), Kyoto (GPE)","{'emma': 1, 'traveled': 1, 'kyoto': 2, 'japan': 1, 'spring': 1, 'experience': 1, 'traditional': 1, 'tea': 1, 'ceremonies': 1, 'visit': 1, 'ancient': 1, 'temples': 1, 'shared': 1, 'feels': 1, 'like': 1, 'stepping': 1, 'time': 1}"
29,"During her summer break, Emma went to Bali for a yoga retreat. She practiced meditation and enjoyed the peaceful beaches. Emma shared, 'Bali is truly a paradise.'","During,her,summer,break,,,Emma,went,to,Bali,for,a,yoga,retreat,.,She,practiced,meditation,and,enjoyed,the,peaceful,beaches,.,Emma,shared,,,',Bali,is,truly,a,paradise,.,'","summer (DATE), Emma (PERSON), Bali (GPE), Emma (PERSON), Bali (GPE)","{'summer': 1, 'break': 1, 'emma': 2, 'went': 1, 'bali': 2, 'yoga': 1, 'retreat': 1, 'practiced': 1, 'meditation': 1, 'enjoyed': 1, 'peaceful': 1, 'beaches': 1, 'shared': 1, 'truly': 1, 'paradise': 1}"
